,new_code,SD,SGG,P_ALL,AREA_KM,P_DEN
60,2402,광주광역시,서구,306957,47.489864196,6463.63187591205
61,2403,광주광역시,남구,218454,60.537108394,3608.5965417808357
62,2404,광주광역시,북구,438780,119.37648862100001,3675.598143894579
63,2405,광주광역시,광산구,404131,221.898091676,1821.2459464954916
64,2501,대전광역시,동구,230516,137.087957115,1681.5189667362636
65,2502,대전광역시,중구,248933,62.043393249999994,4012.2402557342402
66,2503,대전광역시,서구,467609,93.164932592,5019.152453507525
67,2504,대전광역시,유성구,348428,175.913993813,1980.6724436623601
68,2505,대전광역시,대덕구,186902,69.076310443,2705.7322373091533
69,2601,울산광역시,중구,238652,36.94585907,6459.506044989632
70,2602,울산광역시,남구,335439,73.534923326,4561.628472948957
71,2603,울산광역시,동구,169605,36.633049943,4629.835633776074
72,2604,울산광역시,북구,200718,157.936363665,1270.8789498645447
73,2631,울산광역시,울주군,220718,756.34269169,291.8227444054752
74,2901,세종특별자치시,세종특별자치시,280100,464.844348084,602.5672919430319
75,3101,경기도,수원시 장안구,1202628,120.929364821,9944.87982120913
76,3102,경기도,성남시 수정구,967510,141.396195661,6842.546190702493
77,3103,경기도,의정부시,441584,81.758669547,5401.066363318815
78,3104,경기도,안양시 만안구,587764,58.477722134000004,10051.075495949652
79,3105,경기도,부천시,850329,53.602787307999996,15863.52207981341
80,3106,경기도,광명시,332790,38.519668282,8639.48249926936
81,3107,경기도,평택시,481530,458.353751741,1050.5641072446072
82,3108,경기도,동두천시,97071,95.847318772,1012.7669844464912
83,3109,경기도,안산시 상록구,677710,172.213670242,3935.2857357238877
84,3110,경기도,고양시 덕양구,1041983,266.369687145,3911.7927087281146
85,3111,경기도,과천시,57527,35.821085606,1605.9535613394219
86,3112,경기도,구리시,200042,33.169518399,6030.898537436435
87,3113,경기도,남양주시,652353,459.32413460000004,1420.2454233503279
88,3114,경기도,오산시,213437,42.630305573,5006.696459975196
89,3115,경기도,시흥시,419664,141.54103082,2964.963569706465
90,3116,경기도,군포시,281205,36.376968291000004,7730.303354322485
91,3117,경기도,의왕시,155767,53.862994234,2891.911268862863
92,3118,경기도,하남시,232487,92.761617511,2506.2844551242424
93,3119,경기도,용인시 처인구,1004081,591.3455516,1697.9598430786605
94,3120,경기도,파주시,437848,634.329184321,690.2535951718543
95,3121,경기도,이천시,213142,461.501900955,461.8442514731548
96,3122,경기도,안성시,182786,552.8981593770001,330.5961448776776
97,3123,경기도,김포시,392092,278.070650863,1410.0445292702827
98,3124,경기도,화성시,691086,710.278902788,972.9783572162095
99,3125,경기도,광주시,345947,429.648064793,805.1869154040614
100,3126,경기도,양주시,212146,310.261600977,683.7649239608178
101,3127,경기도,포천시,152925,825.15746302,185.32826382046966
102,3128,경기도,여주시,111984,606.87028517,184.52707726269773
103,3135,경기도,연천군,45431,696.38178331,65.238639333815
104,3137,경기도,가평군,62973,840.07058646,74.96155801069517
105,3138,경기도,양평군,115105,876.08917924,131.3850264648316
106,3201,강원도,춘천시,280514,1114.628759851,251.66585512964713
107,3202,강원도,원주시,341337,866.275068545,394.0284239892894
108,3203,강원도,강릉시,213952,1040.469591926,205.6302285624284
109,3204,강원도,동해시,92851,181.143404768,512.5828352344332
110,3205,강원도,태백시,45888,303.218616903,151.3363541747162
111,3206,강원도,속초시,82273,105.79073851,777.6956769445659
112,3207,강원도,삼척시,66652,1188.013143721,56.10375638710353
113,3231,강원도,홍천군,70340,1816.1590427,38.73008825010653
114,3232,강원도,횡성군,46281,997.12374187,46.41450008321423
115,3233,강원도,영월군,38195,1125.97847539,33.9216075926945
116,3234,강원도,평창군,41443,1462.766059,28.331939851224014
117,3235,강원도,정선군,36342,1218.56782446,29.823534866518166
118,3236,강원도,철원군,43184,714.7004485,60.42251700084109
119,3237,강원도,화천군,26022,906.844852,28.69509590599738
120,3238,강원도,양구군,23835,660.76193304,36.071993267440725
121,3239,강원도,인제군,32038,1639.841541,19.537253569306912
122,3240,강원도,고성군,30029,519.16381569,57.84108809680746
123,3241,강원도,양양군,27207,630.84546913,43.127836104650505
124,3302,충청북도,충주시,208316,980.817701624,212.39013086231867
125,3303,충청북도,제천시,136432,881.990399954,154.68649092678965
126,3304,충청북도,청주시상당구,835590,939.260441459,889.6254575589667
127,3332,충청북도,보은군,34053,583.20390681,58.389526548720475
128,3333,충청북도,옥천군,51766,541.2288995700001,95.64529913522259
129,3334,충청북도,영동군,50240,852.01284962,58.966246838186976
130,3335,충청북도,진천군,73677,407.80762509,180.66606769243234
